frequence of Interceptor attribute
    Type Description                     Count                   Percent
           S.McManis                         1                      0.02%
             S.Moore                         7                      0.15%
          S.Nicholas                         2                      0.04%
          S.Phillips                         4                      0.09%
        S.Piscitelli                         3                      0.07%
            S.Prater                         1                      0.02%
           S.Rankins                         1                      0.02%
        S.Richardson                         1                      0.02%
             S.Routt                        10                      0.22%
            S.Shanle                         3                      0.07%
           S.Shields                        18                      0.40%
             S.Smith                        15                      0.33%
           S.Spencer                         5                      0.11%
           S.Springs                         1                      0.02%
           S.Terrell                         2                      0.04%
          S.Thompson                         3                      0.07%
             S.Tuitt                         1                      0.02%
           S.Tulloch                         5                      0.11%
      S.Weatherspoon                         2                      0.04%
          S.Williams                         8                      0.18%
            S.Wright                         2                      0.04%
          Sp.Johnson                         1                      0.02%
            T.Boston                         8                      0.18%
            T.Bowser                         1                      0.02%
            T.Branch                         6                      0.13%
             T.Brock                        12                      0.27%
            T.Brooks                         3                      0.07%
             T.Brown                        10                      0.22%
            T.Carrie                         4                      0.09%
            T.Carter                         5                      0.11%
            T.Culver                         1                      0.02%
           T.Daniels                         4                      0.09%
             T.Davis                        13                      0.29%
            T.DeCoud                        16                      0.35%
           T.Dobbins                         2                      0.04%
            T.Elston                         1                      0.02%
            T.Gipson                        20                      0.44%
             T.Green                         1                      0.02%
            T.Hagler                         1                      0.02%
              T.Hali                         1                      0.02%
            T.Harris                         1                      0.02%
              T.Hill                         1                      0.02%
           T.Jackson                         7                      0.15%
